contract_id,seam,fixture_or_input,go_oracle,rust_test,platforms,comparison,status
CLI-001,CLI,no arguments,target/go/symbrain-go,scripts/rust-differential.py,all,bytes,green
CLI-002,CLI,help aliases,target/go/symbrain-go,scripts/rust-differential.py,all,bytes,green
CLI-003,CLI,version JSON flag positions,target/go/symbrain-go,scripts/rust-differential.py,all,bytes,green
CLI-004,CLI,version human output,target/go/symbrain-go,scripts/rust-differential.py,all,semantic,green
CLI-005,CLI,unknown command,target/go/symbrain-go,scripts/rust-differential.py,all,bytes,green
CLI-005A,CLI,config path and extra argument,target/go/symbrain-go,scripts/rust-differential.py,all,bytes,green
CLI-005B,CLI,config get whole file and missing,target/go/symbrain-go,scripts/rust-differential.py,all,bytes,green
CLI-005C,CLI,config get dotted keys and values,target/go/symbrain-go,scripts/rust-differential.py,all,bytes,green
CLI-005D,CLI,config get error and permission diagnostics,target/go/symbrain-go,scripts/rust-differential.py,all,bytes,green
CLI-005E,CLI,config set and unrelated fallback,target/go/symbrain-go,scripts/rust-differential.py,all,bytes,green
CLI-006,CLI,"full command tree and flags: 81 frozen cases over the top-level usage, help variants, no-arguments, unknown command, version flag boundaries, and the config/profile/doctor/init/install/uninstall/sync/memory/skills/activity/audit/guard groups with measured stdout, stderr and exit codes; isolation root, checkout path, toolchain and host platform are placeholders (the last two are accepted differences)",scripts/cli-oracle;migration/cli-tree-inventory.md,rust/symbrain-cli/tests/fixtures/cli_tree_expectations.json,all,bytes,fixture-ready
CLI-006B,CLI,native doctor flag boundaries: Go flag-value consumption, -h/-help, undefined flag and missing value stop before the vault-agent handshake, regression for #616,scripts/rust-differential.py (doctor_vault_agent_* cases);rust/symbrain-cli/src/doctor_cli.rs,all,bytes,green
CLI-006A,CLI,native init flags XDG creation preservation symlinks partial errors and no-Go-fallback; see migration/init-verification.md,scripts/init-oracle/compare.py@d53c3824e7d6771fabefd62a18dd3c5e50c3c37d,rust/symbrain-cli/tests/init_cli_tests.rs;make init-differential,linux-macos-native-verified;windows-runtime-pass-full-acceptance-deferred,exact-bytes-status-filesystem-manifest,implementation-verified-windows-acceptance-deferred
CLI-007,CLI,profile help list show add plus native remove (20-case source-bound oracle: bindings force confirmation EOF/oversized malformed profile malformed harness refusal symlink special-file empty-directory symlinked profiles root relative project symlink project and terminator cases),target/go/symbrain-go,scripts/profile-remove-oracle;rust/symbrain-cli/tests/profile_cli_tests.rs;scripts/rust-differential.py,macos-local;linux-unverified;windows-static-unverified,bytes-and-filesystem-manifest,blocked-local-storage-exhaustion-native-Windows
CLI-008,CLI,audit tail flags profile filters limits JSON table errors and Go envelope defect,target/go/symbrain-go,scripts/rust-differential.py;rust/symbrain-audit/tests,all,bytes,green
CLI-009,CLI,native install entry bytes default profile environment override Claude project constraint malformed-before-side-effect refusal dry-run superseded migration keep flag collision-safe backups symlink rejection rollback and parent/file modes,scripts/install-oracle;target/go/symbrain-go,rust/symbrain-cli/src/install_cli.rs;rust/symbrain-harness/tests,macos;linux;windows-compile,bytes-and-filesystem-manifest,green-macos-linux-windows-compile
CLI-010,CLI,native uninstall symbrain-only removal foreign-name protection missing/absent no-op dry-run collision-safe backups symlink rejection rollback and atomic modes,scripts/install-oracle;target/go/symbrain-go,rust/symbrain-cli/src/install_cli.rs;rust/symbrain-harness/tests,macos;linux;windows-compile,bytes-and-filesystem-manifest,green-macos-linux-windows-compile
MCP-000,MCP,JSON-RPC models line and Content-Length framing limits malformed partial notification null-ID invalid-envelope and hardened header cases,scripts/mcp-oracle,rust/symbrain-mcp/tests,all,raw-frames,fixture-ready
MCP-FUZZ,MCP,arbitrary frame streams and JSON-RPC envelopes with retained Go-oracle seeds,fuzz/fuzz_targets,make rust-fuzz-smoke,macos-linux,no-crash-or-hang,fixture-ready
BRK-001,broker,spawn initialize list call timeout crash restart backoff bounded stderr capture shutdown process-group cleanup and discover,scripts/broker-oracle,rust/symbrain-broker/tests,all,semantic,green
BRK-002,broker,Rust fake child echo tool-error slow crash mismatch marker and descendant behaviors,internal/broker/testdata/fakemcp,rust/symbrain-broker/src/bin/fakemcp.rs;rust/symbrain-broker/tests,all,semantic,green
MAN-001,managed,embedded manifest platform asset tag identity URL and archive-path contracts,internal/managed/rust_oracle_test.go,rust/symbrain-managed/tests,all,bytes-and-semantic,green
ARC-001,managed,SHA-256 tar.gz zip exact selection ambiguity traversal links and atomic executable install,internal/managed/rust_oracle_test.go,rust/symbrain-managed/tests,all,bytes-and-filesystem-manifest,green
SET-001,managed setup,local HTTP release fixtures install repair allow-unsigned ordering platform skips and version probes,target/go/symbrain-go,scripts/rust-differential.py;rust/symbrain-managed/tests,all,bytes-and-filesystem-manifest,green
VLT-001,vault passthrough,opaque argv inherited stdio and child exit/signal status,scripts/rust-differential.py,rust/symbrain-cli/src/passthrough.rs,macos-linux,bytes-and-status,green
VLT-002,vault passthrough,configured managed PATH lookup precedence and missing diagnostics,scripts/rust-differential.py,rust/symbrain-cli/src/passthrough.rs,macos-linux,bytes-and-diagnostics,green
MCP-001,MCP,initialize and capability negotiation,scripts/mcp-oracle,rust/symbrain-mcp/tests/gateway_protocol_tests.rs,all,raw-frames,fixture-ready
MCP-002,MCP,tools/list names descriptions schemas,scripts/mcp-oracle,rust/symbrain-mcp/tests/gateway_protocol_tests.rs,all,parsed-json,fixture-ready
MCP-003,MCP,tools/call routing errors cancellation,scripts/mcp-oracle,rust/symbrain-mcp/tests/gateway_protocol_tests.rs,all,raw-frames,fixture-ready
MCP-004,MCP,zero stdout pollution,scripts/mcp-oracle,rust/symbrain-mcp/tests/gateway_protocol_tests.rs,all,raw-bytes,fixture-ready
MCP-005,MCP CLI,"native `mcp --profile`/`--profile-file` and deprecated `serve` alias with foreign stdio child, malformed frames, notification silence, EOF, SIGTERM cleanup, zero stdout pollution, profile/flag failures, and no-Go-path subprocess proof",none,rust/symbrain-cli/tests/mcp_cli_tests.rs,macos,raw-frames-and-process-lifecycle,green-macos-embedded-handlers-blocked
GW-001,gateway,initialize and capability negotiation,scripts/gateway-oracle,rust/symbrain-gateway/tests/fixtures/gateway_cases.json,all,raw-frames,fixture-ready
GW-002,gateway,tools/list catalog metadata and stable order,scripts/gateway-oracle,rust/symbrain-gateway/tests/fixtures/gateway_cases.json,all,parsed-json,fixture-ready
GW-003,gateway,namespaced child tools/call routing hidden-tool behavior and error classification,scripts/gateway-oracle,rust/symbrain-gateway/tests/fixtures/gateway_cases.json,all,raw-frames-and-semantic,fixture-ready
GW-004,gateway,stdout contains only JSON-RPC frames,scripts/gateway-oracle,rust/symbrain-gateway/tests/gateway_tests.rs,all,raw-bytes,fixture-ready
DOC-001,doctor,isolated XDG doctor JSON and human output,target/go/symbrain-go,scripts/rust-differential.py,all,bytes,fixture-ready
CFG-001,filesystem,XDG and legacy path precedence (256-case source-bound matrix: HOME/XDG set vs unset vs empty, relative home, legacy fallback, config/profiles/data/audit/patterns/cache/managed-bin relationships, and the 128 no-usable-home error cases),scripts/xdg-oracle,rust/symbrain-core/tests/xdg_paths_tests.rs;rust/symbrain-core/tests/fixtures/oracle_expectations.json,all,filesystem-manifest,green
CFG-002,filesystem,atomic writes permissions symlinks,target/go/symbrain-go,scripts/rust-differential.py,all,filesystem-manifest,green
PRF-001,profile,TOML schema defaults and server validation,scripts/policy-oracle,rust/symbrain-policy/tests,all,semantic,green
POL-001,policy,core presets and default-deny matrices,scripts/policy-oracle,rust/symbrain-policy/tests,all,semantic,green
POL-002,policy,foreign server read-write classification and hints,scripts/policy-oracle,rust/symbrain-policy/tests,all,semantic,green
CAT-001,catalog,namespacing collisions sorting annotations schemas and routing metadata,scripts/catalog-oracle,rust/symbrain-catalog/tests,all,bytes-and-semantic,green
AUD-001,audit,JSONL schema hash chain redaction bounded tail degradation filters and permissions,scripts/audit-oracle,rust/symbrain-audit/tests,all,bytes-and-semantic,green
PAT-001,patterns,episode JSONL deterministic names recurrence promotion provenance pruning and permissions,scripts/patterns-activity-oracle,rust/symbrain-activity/tests;rust/symbrain-patterns,all,bytes-and-semantic,green
ACT-001,activity,validation ordering bounded tokens Unicode fencing profile access and safe read shapes,scripts/patterns-activity-oracle,rust/symbrain-activity/tests,all,bytes-and-semantic,green
DB-001,SQLite,"schema migrations and pragmas: 29 tables, every index, the full memories column set (name/type/NOT NULL/default/pk) and the 5 store pragmas (journal_mode, busy_timeout_ms, foreign_keys, secure_delete)",scripts/db-memory-oracle,rust/symbrain-memory/tests/fixtures/db_memory_oracle.json,all,schema-and-query-snapshot,fixture-ready
DB-002,SQLite,"NULL timestamps, ordering and locks: null_created_at_rejected, null_updated_at_rejected, missing_table_rejected, ordering_ties_by_id_desc, ordering_distinct_by_created_at_desc",scripts/db-memory-oracle,rust/symbrain-memory/tests/fixtures/db_memory_oracle.json,all,semantic,fixture-ready
SEC-001,security,secret resolution and redaction,target/go/symbrain-go,pending,all,bytes,pending
SEC-002,security,guard decisions grants audit chain,target/go/symbrain-go,pending,all,bytes-and-files,pending
SEC-003,security,Guard request/decision models validation fail-closed outputs injected time and IDs,guard/scripts/guard-oracle,rust/symbrain-guard-core/tests/oracle_tests.rs,all,exact-json-and-errors,fixture-ready
SEC-004,security,Guard static buckets precedence merge scope ceilings marginal capability risk and reasons,guard/scripts/guard-oracle,rust/symbrain-guard-core/tests/oracle_tests.rs,all,exact-json-and-errors,fixture-ready
